,inference_id,layer_id,split_layer,total_inference_time_ns,completed_by_node,class,inference_time,parameters,parameter_bytes,cpu_cycles_used,watts_used,depth,precision,input_size,output_size,output_bytes
30,0132f0ad-0229-4a9d-b0f9-c10054b59314,9,5,79228860,EDGE1,ReLU,67421,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
31,0132f0ad-0229-4a9d-b0f9-c10054b59314,10,5,79228860,EDGE1,Conv2d,5137428,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
32,0132f0ad-0229-4a9d-b0f9-c10054b59314,11,5,79228860,EDGE1,ReLU,66955,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
33,0132f0ad-0229-4a9d-b0f9-c10054b59314,12,5,79228860,EDGE1,MaxPool2d,365344,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
34,0132f0ad-0229-4a9d-b0f9-c10054b59314,13,5,79228860,EDGE1,AdaptiveAvgPool2d,440737,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
35,0132f0ad-0229-4a9d-b0f9-c10054b59314,14,5,79228860,EDGE1,Dropout,33916,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
36,0132f0ad-0229-4a9d-b0f9-c10054b59314,15,5,79228860,EDGE1,Linear,9498521,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
37,0132f0ad-0229-4a9d-b0f9-c10054b59314,16,5,79228860,EDGE1,ReLU,57398,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
38,0132f0ad-0229-4a9d-b0f9-c10054b59314,17,5,79228860,EDGE1,Dropout,40569,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
39,0132f0ad-0229-4a9d-b0f9-c10054b59314,18,5,79228860,EDGE1,Linear,4176902,16781312,67125248,,,2,,"[1, 4096]","[1, 4096]",16384
40,0132f0ad-0229-4a9d-b0f9-c10054b59314,19,5,79228860,EDGE1,ReLU,53389,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
41,0132f0ad-0229-4a9d-b0f9-c10054b59314,20,5,79228860,EDGE1,Linear,1113278,4097000,16388000,,,2,,"[1, 4096]","[1, 1000]",4000
42,02725644-cec2-4b94-b92f-a6eae81d7425,0,15,96986331,CLIENT1,Conv2d,15829432,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
43,02725644-cec2-4b94-b92f-a6eae81d7425,1,15,96986331,CLIENT1,ReLU,520474,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
44,02725644-cec2-4b94-b92f-a6eae81d7425,2,15,96986331,CLIENT1,MaxPool2d,2017524,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
45,02725644-cec2-4b94-b92f-a6eae81d7425,3,15,96986331,CLIENT1,Conv2d,22969410,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
46,02725644-cec2-4b94-b92f-a6eae81d7425,4,15,96986331,CLIENT1,ReLU,333087,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
47,02725644-cec2-4b94-b92f-a6eae81d7425,5,15,96986331,CLIENT1,MaxPool2d,1420866,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
48,02725644-cec2-4b94-b92f-a6eae81d7425,6,15,96986331,CLIENT1,Conv2d,12027381,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
49,02725644-cec2-4b94-b92f-a6eae81d7425,7,15,96986331,CLIENT1,ReLU,193256,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
50,02725644-cec2-4b94-b92f-a6eae81d7425,8,15,96986331,CLIENT1,Conv2d,15670693,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
51,02725644-cec2-4b94-b92f-a6eae81d7425,9,15,96986331,CLIENT1,ReLU,149034,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
52,02725644-cec2-4b94-b92f-a6eae81d7425,10,15,96986331,CLIENT1,Conv2d,10997861,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
53,02725644-cec2-4b94-b92f-a6eae81d7425,11,15,96986331,CLIENT1,ReLU,143350,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
54,02725644-cec2-4b94-b92f-a6eae81d7425,12,15,96986331,CLIENT1,MaxPool2d,486492,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
55,02725644-cec2-4b94-b92f-a6eae81d7425,13,15,96986331,CLIENT1,AdaptiveAvgPool2d,126498,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
56,02725644-cec2-4b94-b92f-a6eae81d7425,14,15,96986331,CLIENT1,Dropout,45295,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
57,02725644-cec2-4b94-b92f-a6eae81d7425,15,15,96986331,EDGE1,Linear,8964370,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
58,02725644-cec2-4b94-b92f-a6eae81d7425,16,15,96986331,EDGE1,ReLU,50927,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
59,02725644-cec2-4b94-b92f-a6eae81d7425,17,15,96986331,EDGE1,Dropout,35849,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
60,02725644-cec2-4b94-b92f-a6eae81d7425,18,15,96986331,EDGE1,Linear,3915708,16781312,67125248,,,2,,"[1, 4096]","[1, 4096]",16384
61,02725644-cec2-4b94-b92f-a6eae81d7425,19,15,96986331,EDGE1,ReLU,48148,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
62,02725644-cec2-4b94-b92f-a6eae81d7425,20,15,96986331,EDGE1,Linear,1040676,4097000,16388000,,,2,,"[1, 4096]","[1, 1000]",4000
63,030e671c-d839-4baf-a02e-b7235e7ebddb,0,11,97220149,CLIENT1,Conv2d,15722341,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
64,030e671c-d839-4baf-a02e-b7235e7ebddb,1,11,97220149,CLIENT1,ReLU,699377,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
65,030e671c-d839-4baf-a02e-b7235e7ebddb,2,11,97220149,CLIENT1,MaxPool2d,1960636,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
66,030e671c-d839-4baf-a02e-b7235e7ebddb,3,11,97220149,CLIENT1,Conv2d,22825431,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
67,030e671c-d839-4baf-a02e-b7235e7ebddb,4,11,97220149,CLIENT1,ReLU,353216,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
68,030e671c-d839-4baf-a02e-b7235e7ebddb,5,11,97220149,CLIENT1,MaxPool2d,1421792,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
69,030e671c-d839-4baf-a02e-b7235e7ebddb,6,11,97220149,CLIENT1,Conv2d,12024696,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
70,030e671c-d839-4baf-a02e-b7235e7ebddb,7,11,97220149,CLIENT1,ReLU,179978,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
71,030e671c-d839-4baf-a02e-b7235e7ebddb,8,11,97220149,CLIENT1,Conv2d,16092483,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
72,030e671c-d839-4baf-a02e-b7235e7ebddb,9,11,97220149,CLIENT1,ReLU,187367,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
73,030e671c-d839-4baf-a02e-b7235e7ebddb,10,11,97220149,CLIENT1,Conv2d,10872474,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
