,inference_id,layer_id,split_layer,total_inference_time_ns,completed_by_node,class,inference_time,parameters,parameter_bytes,cpu_cycles_used,watts_used,depth,precision,input_size,output_size,output_bytes
0,03632603-8d21-4f3c-9227-24fbe349898f,0,8,87931409,CLIENT1,Conv2d,15637030,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
1,03632603-8d21-4f3c-9227-24fbe349898f,1,8,87931409,CLIENT1,ReLU,1446847,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
2,03632603-8d21-4f3c-9227-24fbe349898f,2,8,87931409,CLIENT1,MaxPool2d,2893066,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
3,03632603-8d21-4f3c-9227-24fbe349898f,3,8,87931409,CLIENT1,Conv2d,23182224,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
4,03632603-8d21-4f3c-9227-24fbe349898f,4,8,87931409,CLIENT1,ReLU,1276665,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
5,03632603-8d21-4f3c-9227-24fbe349898f,5,8,87931409,CLIENT1,MaxPool2d,2351185,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
6,03632603-8d21-4f3c-9227-24fbe349898f,6,8,87931409,CLIENT1,Conv2d,12470710,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
7,03632603-8d21-4f3c-9227-24fbe349898f,7,8,87931409,CLIENT1,ReLU,1094260,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
8,03632603-8d21-4f3c-9227-24fbe349898f,8,8,87931409,EDGE1,Conv2d,7322661,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
9,03632603-8d21-4f3c-9227-24fbe349898f,9,8,87931409,EDGE1,ReLU,67141,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
10,03632603-8d21-4f3c-9227-24fbe349898f,10,8,87931409,EDGE1,Conv2d,4966687,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
11,03632603-8d21-4f3c-9227-24fbe349898f,11,8,87931409,EDGE1,ReLU,65939,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
12,03632603-8d21-4f3c-9227-24fbe349898f,12,8,87931409,EDGE1,MaxPool2d,352195,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
13,03632603-8d21-4f3c-9227-24fbe349898f,13,8,87931409,EDGE1,AdaptiveAvgPool2d,421237,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
14,03632603-8d21-4f3c-9227-24fbe349898f,14,8,87931409,EDGE1,Dropout,33438,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
15,03632603-8d21-4f3c-9227-24fbe349898f,15,8,87931409,EDGE1,Linear,9179560,37752832,151011328,,,2,,"[1, 9216]","[1, 4096]",16384
16,03632603-8d21-4f3c-9227-24fbe349898f,16,8,87931409,EDGE1,ReLU,52678,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
17,03632603-8d21-4f3c-9227-24fbe349898f,17,8,87931409,EDGE1,Dropout,37376,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
18,03632603-8d21-4f3c-9227-24fbe349898f,18,8,87931409,EDGE1,Linear,4008733,16781312,67125248,,,2,,"[1, 4096]","[1, 4096]",16384
19,03632603-8d21-4f3c-9227-24fbe349898f,19,8,87931409,EDGE1,ReLU,50545,0,0,,,2,,"[1, 4096]","[1, 4096]",16384
20,03632603-8d21-4f3c-9227-24fbe349898f,20,8,87931409,EDGE1,Linear,1021232,4097000,16388000,,,2,,"[1, 4096]","[1, 1000]",4000
21,05ab4605-ff91-41f8-9f70-41a37406d72f,0,18,197310447,CLIENT1,Conv2d,16341259,23296,93184,,,2,,"[1, 3, 224, 224]","[1, 64, 55, 55]",774400
22,05ab4605-ff91-41f8-9f70-41a37406d72f,1,18,197310447,CLIENT1,ReLU,2320056,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 55, 55]",774400
23,05ab4605-ff91-41f8-9f70-41a37406d72f,2,18,197310447,CLIENT1,MaxPool2d,3717497,0,0,,,2,,"[1, 64, 55, 55]","[1, 64, 27, 27]",186624
24,05ab4605-ff91-41f8-9f70-41a37406d72f,3,18,197310447,CLIENT1,Conv2d,24354817,307392,1229568,,,2,,"[1, 64, 27, 27]","[1, 192, 27, 27]",559872
25,05ab4605-ff91-41f8-9f70-41a37406d72f,4,18,197310447,CLIENT1,ReLU,2160188,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 27, 27]",559872
26,05ab4605-ff91-41f8-9f70-41a37406d72f,5,18,197310447,CLIENT1,MaxPool2d,3201709,0,0,,,2,,"[1, 192, 27, 27]","[1, 192, 13, 13]",129792
27,05ab4605-ff91-41f8-9f70-41a37406d72f,6,18,197310447,CLIENT1,Conv2d,13369806,663936,2655744,,,2,,"[1, 192, 13, 13]","[1, 384, 13, 13]",259584
28,05ab4605-ff91-41f8-9f70-41a37406d72f,7,18,197310447,CLIENT1,ReLU,1890803,0,0,,,2,,"[1, 384, 13, 13]","[1, 384, 13, 13]",259584
29,05ab4605-ff91-41f8-9f70-41a37406d72f,8,18,197310447,CLIENT1,Conv2d,17096525,884992,3539968,,,2,,"[1, 384, 13, 13]","[1, 256, 13, 13]",173056
30,05ab4605-ff91-41f8-9f70-41a37406d72f,9,18,197310447,CLIENT1,ReLU,1872563,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
31,05ab4605-ff91-41f8-9f70-41a37406d72f,10,18,197310447,CLIENT1,Conv2d,12153326,590080,2360320,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
32,05ab4605-ff91-41f8-9f70-41a37406d72f,11,18,197310447,CLIENT1,ReLU,1900895,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 13, 13]",173056
33,05ab4605-ff91-41f8-9f70-41a37406d72f,12,18,197310447,CLIENT1,MaxPool2d,2207187,0,0,,,2,,"[1, 256, 13, 13]","[1, 256, 6, 6]",36864
34,05ab4605-ff91-41f8-9f70-41a37406d72f,13,18,197310447,CLIENT1,AdaptiveAvgPool2d,1928655,0,0,,,1,,"[1, 256, 6, 6]","[1, 256, 6, 6]",36864
35,05ab4605-ff91-41f8-9f70-41a37406d72f,14,18,197310447,CLIENT1,Dropout,47981,0,0,,,2,,"[1, 9216]","[1, 9216]",36864
